Data sets,KNU,KNE,DSP,MDS,WVE
yeast1SMEN,0.594,0.5537,0.589,0.5205,0.582
SM,0.5737,0.5205,0.5605,0.574,0.6104
ADS,0.5825,0.494,0.5254,0.4539,0.537
CC,0.552,0.5537,0.55,0.437,0.5884
ROS,0.505,0.526,0.566,0.522,0.557
vehicle0SMEN,0.7153,0.782,0.727,0.861,0.557
SM,0.859,0.8887,0.808,0.849,0.8506
ADS,0.855,0.8145,0.8623,0.836,0.8345
CC,0.642,0.8325,0.74,0.659,0.6943
ROS,0.8394,0.7944,0.7944,0.8335,0.803
segment0SMEN,0.9224,0.9785,0.9683,0.9604,0.841
SM,0.961,0.9756,0.9746,0.9614,0.906
ADS,0.962,0.9546,0.9546,0.9443,0.9243
CC,0.857,0.856,0.873,0.837,0.6064
ROS,0.974,0.9673,0.9717,0.9526,0.9106
page_blocks0SMEN,0.812,0.7656,0.7446,0.7764,0.7134
SM,0.7974,0.788,0.8706,0.846,0.7397
ADS,0.823,0.767,0.771,0.822,0.783
CC,0.4724,0.4192,0.4321,0.4226,0.562
ROS,0.8535,0.8687,0.848,0.8726,0.895
yeast4SMEN,0.2637,0.2222,0.268,0.3218,0.2856
SM,0.3057,0.4102,0.2898,0.2106,0.2285
ADS,0.4363,0.3174,0.3428,0.32,0.2285
CC,0.0909,0.0606,0.1493,0.1451,0.276
ROS,0.3704,0.3845,0.254,0.4324,0.2637
yeast6SMEN,0.2439,0.5186,0.3076,0.3428,0.1887
SM,0.4082,0.2856,0.5405,0.5454,0.2751
ADS,0.4,0.2285,0.3076,0.564,0.2688
CC,0.2964,0.1892,0.0906,0.0844,0.303
ROS,0.3242,0.476,0.3572,0.56,0.2573
wineSMEN,0.1132,0.1067,0.1464,0.0901,0.142
SM,0.07227,0.07227,0.1351,0.05334,0.0659
ADS,0.06976,0.1277,0.1428,0.125,0.1053
CC,0.0884,0.0844,0.0769,0.0522,0.0767
ROS,0.1666,0.1694,0.1132,0.129,0.2174
pokerSMEN,0.353,0.4707,0.125,0.25,0.04443
SM,0.75,0.923,0.7,0.5884,0.0465
ADS,0.5884,0.069,0.5386,0.9414,0.05713
CC,0.0238,0.02841,0.0198,0.05103,0.02655
ROS,0,0,0.1428,0.1666,0
